method,agent,score,rank
VADER,Claude_Code,0.2692557603686636,1
VADER,Copilot,0.08045744071075446,5
VADER,Cursor,0.14733727714748784,2
VADER,Devin,0.14081370812475932,3
VADER,OpenAI_Codex,0.11870174418604651,4
TextBlob,Claude_Code,0.11852499394471208,1
TextBlob,Copilot,0.04755676453104114,5
TextBlob,Cursor,0.09544226158307832,2
TextBlob,Devin,0.06800481863006819,4
TextBlob,OpenAI_Codex,0.08108637337019334,3
SentiCR-trained,Claude_Code,-0.2465437788018433,4
SentiCR-trained,Copilot,-0.24940889876047861,5
SentiCR-trained,Cursor,-0.20097244732576985,2
SentiCR-trained,Devin,-0.22256449749711205,3
SentiCR-trained,OpenAI_Codex,-0.17790697674418604,1
Review state,Claude_Code,0.36585365853658536,3
Review state,Copilot,0.23882091212458287,5
Review state,Cursor,0.5921985815602837,2
Review state,Devin,0.3340136054421769,4
Review state,OpenAI_Codex,0.6126315789473684,1
