score,agent_a,agent_b,u,raw_p,holm_p
textblob,Claude_Code,Copilot,3590789.5,1.1131013944519578e-12,1.001791255006762e-11
textblob,Claude_Code,Cursor,141779.0,0.09313576216381769,0.18627152432763538
textblob,Claude_Code,Devin,1287099.5,1.376178693326132e-07,9.633250853282924e-07
textblob,Claude_Code,OpenAI_Codex,408551.0,0.0015889764208553824,0.004766929262566147
textblob,Copilot,Cursor,3790208.5,5.382225514107327e-08,4.3057804112858614e-07
textblob,Copilot,Devin,34597682.0,1.6532748079718196e-07,9.919648847830918e-07
textblob,Copilot,OpenAI_Codex,10760492.5,4.522232503688849e-14,4.522232503688849e-13
textblob,Cursor,Devin,1726632.0,0.0007310121713607759,0.0029240486854431036
textblob,Cursor,OpenAI_Codex,546396.0,0.25497062107424784,0.25497062107424784
textblob,Devin,OpenAI_Codex,4217290.0,0.00021247587167073985,0.0010623793583536992
