method,agent,mean_score,ci_low,ci_high,mean_rank,top1_share,top2_share,bottom_share
SentiCR,Claude_Code,0.24697695852534562,0.20731566820276498,0.2880184331797235,4.283,0.0,0.03,0.458
SentiCR,Copilot,0.2494463709966325,0.24210073798094145,0.2567188507558931,4.539,0.0,0.0,0.54
SentiCR,Cursor,0.20150567260940033,0.1717585089141005,0.233387358184765,2.059,0.101,0.864,0.002
SentiCR,Devin,0.22303138236426645,0.21216307277628033,0.23469869079707356,3.017,0.0,0.107,0.0
SentiCR,OpenAI_Codex,0.17796744186046512,0.1592877906976744,0.19709302325581396,1.102,0.899,0.999,0.0
TextBlob,Claude_Code,0.1179476022656379,0.09687510570862988,0.1407507159903098,1.063,0.938,0.999,0.0
TextBlob,Copilot,0.047454966931382056,0.044075933033999745,0.050830876575606955,5.0,0.0,0.0,1.0
TextBlob,Cursor,0.09619301188584212,0.07752267892093553,0.11438704191747973,2.024,0.061,0.918,0.0
TextBlob,Devin,0.0681001655286866,0.062343838409925335,0.07375875497475602,3.983,0.0,0.0,0.0
TextBlob,OpenAI_Codex,0.08100638328917183,0.07146923621687092,0.09037298451251095,2.93,0.001,0.083,0.0
VADER,Claude_Code,0.26920897811059913,0.22814203341013825,0.30670070852534564,1.0,1.0,1.0,0.0
VADER,Copilot,0.08044019931933796,0.07454942179551478,0.08664323887654939,5.0,0.0,0.0,1.0
VADER,Cursor,0.14796086012965964,0.1124799068071313,0.18109279983792542,2.43,0.0,0.643,0.0
VADER,Devin,0.14096396923373122,0.13053732190989603,0.15087479399306894,2.679,0.0,0.35,0.0
VADER,OpenAI_Codex,0.1184546453488372,0.09628161918604651,0.1412237238372093,3.891,0.0,0.007,0.0
