experience_quartile,agent,developers,share_within_quartile_pct
Q1 least,OpenAI_Codex,14856,82.34120385766545
Q1 least,Cursor,2965,16.433876510364705
Q1 least,Claude_Code,136,0.7537966965968296
Q1 least,Copilot,84,0.4655803126039242
Q1 least,Devin,1,0.005542622769094336
Q2,OpenAI_Codex,15507,85.94945128034585
Q2,Cursor,2292,12.703691386764218
Q2,Claude_Code,176,0.9755016073606031
Q2,Copilot,67,0.37135572552932045
Q3,OpenAI_Codex,15655,86.77456903719306
Q3,Cursor,1985,11.00271603569647
Q3,Claude_Code,317,1.7571088077157584
Q3,Copilot,84,0.465606119394712
Q4 most,OpenAI_Codex,15192,84.20352510808115
Q4 most,Cursor,1929,10.691719321582974
Q4 most,Claude_Code,816,4.522780179580978
Q4 most,Copilot,105,0.5819753907549052
