task_category,prs,merged_rate,human_review_rate,approval_rate,changes_requested_rate,human_discussion_rate,median_account_age_years,median_timeline_events
feature,9988,75.37044453344012,11.363636363636363,7.929515418502203,1.3916700040048058,17.390869042851424,13.252923004284229,5.0
bugfix,5020,70.55776892430279,15.298804780876493,11.39442231075697,1.1354581673306772,25.737051792828687,10.699131556265367,6.0
docs,3549,84.9535080304311,12.905043674274443,10.93265708650324,1.4088475626937165,16.45533953226261,12.130931281212767,5.0
test,3110,80.35369774919614,6.334405144694534,4.694533762057878,0.45016077170418006,9.903536977491962,13.563418067280148,5.0
other,2264,80.1678445229682,8.789752650176679,6.757950530035335,0.35335689045936397,13.030035335689046,13.550022229193601,5.0
ci_build,1892,77.53699788583509,12.896405919661733,10.359408033826638,0.8985200845665962,17.81183932346723,8.634984599589323,5.0
dependency,1411,75.97448618001418,15.450035435861093,12.048192771084338,1.1339475549255846,21.615875265768956,8.555509766268663,5.0
refactor,927,70.98166127292342,15.74973031283711,12.081984897518879,0.8629989212513484,21.57497303128371,10.87410934291581,5.0
security,259,64.0926640926641,25.482625482625483,21.235521235521233,0.7722007722007722,37.45173745173745,5.2872699127943825,8.0
performance,205,54.63414634146342,14.634146341463413,10.731707317073171,1.4634146341463417,24.878048780487806,11.149941408725631,6.0
